SampleName,Stage,Stage_plot,Site,Site_Code,Taxa,Taxa_Specific,FFG,Consumer,Mass,Date,d13C,d15N,%C,%N,C/N
CUSHBR_SHRUB_SI_1,Terrestrial leaves,Basal food source,Cushing Bridge,CUSHBR,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.063,03-Mar-23,-28.1,2.6,49.7,1.7,29.2
CUSHBR_SHRUB_SI_2,Terrestrial leaves,Basal food source,Cushing Bridge,CUSHBR,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.081,03-Mar-23,-29.1,2.9,47.1,2.4,19.4
CUSHBR_SHRUB_SI_3,Terrestrial leaves,Basal food source,Cushing Bridge,CUSHBR,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.114,03-Mar-23,-28.8,2.6,48.1,2.3,20.7
CUSHBR_Tetragnatha_SI_1,Spider,Spider,Cushing Bridge,CUSHBR,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.044,01-Mar-23,-27.2,9.2,49.9,12.1,4.1
CUSHBR_Tetragnatha_SI_2,Spider,Spider,Cushing Bridge,CUSHBR,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.108,28-Feb-23,-26.3,8.4,45.2,12.9,3.5
CUSHBR_Tetragnatha_SI_3,Spider,Spider,Cushing Bridge,CUSHBR,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.049,28-Feb-23,-26.7,8.7,46,12.1,3.8
GRVBR_Ad_Hydro_SI_1,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.072,02-Mar-23,-25.9,14.5,55.4,10.1,5.5
GRVBR_Ad_Hydro_SI_2,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,N/A,02-Mar-23,-25.65,14.2,54.15,10.65,5.05
GRVBR_Ad_Hydro_SI_3,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.001,01-Mar-23,-25.6,14.1,54,11.1,4.8
GRVBR_Ad_Mayfly_2_SI_1,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.158,28-Feb-23,-29.3,11.7,53.7,11.4,4.7
GRVBR_Ad_Mayfly_2_SI_2,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.01,01-Mar-23,-26.8,11.6,50.7,13.1,3.9
GRVBR_Ad_Mayfly_2_SI_3,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.04,28-Feb-23,-23.5,11.2,50.7,14.9,3.4
GRVBR_Ad_Rhya_SI_1,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,1.069,01-Mar-23,-26.9,10.3,51.2,11.3,4.5
GRVBR_Ad_Stonefly_2_SI_1,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Chloroperlidae,Chloroperlidae Adult,Predator,Secondary Consumer,1.118,01-Mar-23,-26.6,10,49.3,10.2,4.8
GRVBR_Ad_Stonefly_2_SI_2,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Chloroperlidae,Chloroperlidae Adult,Predator,Secondary Consumer,1.044,02-Mar-23,-25.9,10.5,52.2,10.8,4.8
GRVBR_Ad_Stonefly_2_SI_3,Aquatic adult,Aquatic adult,Graves Bridge,GRVBR,Chloroperlidae,Chloroperlidae Adult,Predator,Secondary Consumer,1.104,01-Mar-23,-26.7,10.7,52.7,10.8,4.9
GRVBR_Araneid_SI_1,Spider,Spider,Graves Bridge,GRVBR,Araneidae,Araneidae,Predator,Secondary Consumer,1.137,28-Feb-23,-25.5,12.4,53.9,11.4,4.7
GRVBR_Araneid_SI_2,Spider,Spider,Graves Bridge,GRVBR,Araneidae,Araneidae,Predator,Secondary Consumer,1.104,28-Feb-23,-24.2,12.3,47.1,12.7,3.7
GRVBR_Araneid_SI_3,Spider,Spider,Graves Bridge,GRVBR,Araneidae,Araneidae,Predator,Secondary Consumer,1.047,28-Feb-23,-26,13.1,48.3,10.1,4.8
GRVBR_Biofilm_SI_1,Biofilm,Basal food source,Graves Bridge,GRVBR,Biofilm,Biofilm,Biofilm,Basal food source,3.17,03-Mar-23,-8.8,4,4.9,0.2,29.8
GRVBR_Biofilm_SI_2,Biofilm,Basal food source,Graves Bridge,GRVBR,Biofilm,Biofilm,Biofilm,Basal food source,3.196,03-Mar-23,-21.7,8.3,14.1,1.1,13.3
GRVBR_Biofilm_SI_3,Biofilm,Basal food source,Graves Bridge,GRVBR,Biofilm,Biofilm,Biofilm,Basal food source,3.003,03-Mar-23,-24.3,9.9,20.9,2.2,9.5
GRVBR_Lar_Chiro_SI_1,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Chironomidae,Chironomidae Larvae,Gatherer-Collector,Primary Consumer,1.112,28-Feb-23,-30.5,10.4,48.2,8.9,5.4
GRVBR_Lar_Chiro_SI_2,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Chironomidae,Chironomidae Larvae,Gatherer-Collector,Primary Consumer,1.092,01-Mar-23,-30.2,10.8,49.6,9.1,5.5
GRVBR_Lar_Chiro_SI_3,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Chironomidae,Chironomidae Larvae,Gatherer-Collector,Primary Consumer,1.012,28-Feb-23,-29.6,10.5,38.9,7.3,5.3
